,slice_file_name,fold,classID,class,augmentation,partition_id
0,100032-3-0-0.wav,5,3,dog_bark,original,1
1,100263-2-0-117.wav,5,2,children_playing,original,6
2,100263-2-0-121.wav,5,2,children_playing,original,10
3,100263-2-0-126.wav,5,2,children_playing,original,8
4,100263-2-0-137.wav,5,2,children_playing,original,0
5,100263-2-0-143.wav,5,2,children_playing,original,12
6,100263-2-0-161.wav,5,2,children_playing,original,0
7,100263-2-0-3.wav,5,2,children_playing,original,9
8,100263-2-0-36.wav,5,2,children_playing,original,4
9,100648-1-0-0.wav,10,1,car_horn,original,-1
10,100648-1-1-0.wav,10,1,car_horn,original,-1
11,100648-1-2-0.wav,10,1,car_horn,original,-1
12,100648-1-3-0.wav,10,1,car_horn,original,-1
13,100648-1-4-0.wav,10,1,car_horn,original,-1
14,100652-3-0-0.wav,2,3,dog_bark,original,3
15,100652-3-0-1.wav,2,3,dog_bark,original,19
16,100652-3-0-2.wav,2,3,dog_bark,original,1
17,100652-3-0-3.wav,2,3,dog_bark,original,16
18,100795-3-0-0.wav,10,3,dog_bark,original,-1
19,100795-3-1-0.wav,10,3,dog_bark,original,-1
20,100795-3-1-1.wav,10,3,dog_bark,original,-1
21,100795-3-1-2.wav,10,3,dog_bark,original,-1
22,100852-0-0-0.wav,5,0,air_conditioner,original,7
23,100852-0-0-1.wav,5,0,air_conditioner,original,17
24,100852-0-0-10.wav,5,0,air_conditioner,original,6
25,100852-0-0-11.wav,5,0,air_conditioner,original,7
26,100852-0-0-12.wav,5,0,air_conditioner,original,13
27,100852-0-0-13.wav,5,0,air_conditioner,original,3
28,100852-0-0-14.wav,5,0,air_conditioner,original,2
29,100852-0-0-15.wav,5,0,air_conditioner,original,6
30,100852-0-0-16.wav,5,0,air_conditioner,original,3
31,100852-0-0-17.wav,5,0,air_conditioner,original,6
32,100852-0-0-18.wav,5,0,air_conditioner,original,16
33,100852-0-0-19.wav,5,0,air_conditioner,original,1
34,100852-0-0-2.wav,5,0,air_conditioner,original,4
35,100852-0-0-20.wav,5,0,air_conditioner,original,12
36,100852-0-0-21.wav,5,0,air_conditioner,original,9
37,100852-0-0-22.wav,5,0,air_conditioner,original,18
38,100852-0-0-23.wav,5,0,air_conditioner,original,18
39,100852-0-0-24.wav,5,0,air_conditioner,original,3
40,100852-0-0-25.wav,5,0,air_conditioner,original,6
41,100852-0-0-26.wav,5,0,air_conditioner,original,0
42,100852-0-0-27.wav,5,0,air_conditioner,original,8
43,100852-0-0-28.wav,5,0,air_conditioner,original,14
44,100852-0-0-29.wav,5,0,air_conditioner,original,11
45,100852-0-0-3.wav,5,0,air_conditioner,original,15
46,100852-0-0-30.wav,5,0,air_conditioner,original,14
47,100852-0-0-4.wav,5,0,air_conditioner,original,4
48,100852-0-0-5.wav,5,0,air_conditioner,original,17
49,100852-0-0-6.wav,5,0,air_conditioner,original,13
50,100852-0-0-7.wav,5,0,air_conditioner,original,11
51,100852-0-0-8.wav,5,0,air_conditioner,original,16
52,100852-0-0-9.wav,5,0,air_conditioner,original,16
53,101281-3-0-0.wav,6,3,dog_bark,original,0
54,101281-3-0-14.wav,6,3,dog_bark,original,11
55,101281-3-0-5.wav,6,3,dog_bark,original,16
56,101382-2-0-10.wav,10,2,children_playing,original,-1
57,101382-2-0-12.wav,10,2,children_playing,original,-1
58,101382-2-0-20.wav,10,2,children_playing,original,-1
59,101382-2-0-21.wav,10,2,children_playing,original,-1
60,101382-2-0-29.wav,10,2,children_playing,original,-1
61,101382-2-0-33.wav,10,2,children_playing,original,-1
62,101382-2-0-42.wav,10,2,children_playing,original,-1
63,101382-2-0-45.wav,10,2,children_playing,original,-1
64,101415-3-0-2.wav,1,3,dog_bark,original,11
65,101415-3-0-3.wav,1,3,dog_bark,original,18
66,101415-3-0-8.wav,1,3,dog_bark,original,19
67,101729-0-0-1.wav,9,0,air_conditioner,original,14
68,101729-0-0-11.wav,9,0,air_conditioner,original,10
69,101729-0-0-12.wav,9,0,air_conditioner,original,8
70,101729-0-0-13.wav,9,0,air_conditioner,original,15
71,101729-0-0-14.wav,9,0,air_conditioner,original,11
72,101729-0-0-16.wav,9,0,air_conditioner,original,10
73,101729-0-0-17.wav,9,0,air_conditioner,original,9
74,101729-0-0-18.wav,9,0,air_conditioner,original,10
75,101729-0-0-19.wav,9,0,air_conditioner,original,18
76,101729-0-0-21.wav,9,0,air_conditioner,original,4
77,101729-0-0-22.wav,9,0,air_conditioner,original,7
78,101729-0-0-23.wav,9,0,air_conditioner,original,13
79,101729-0-0-24.wav,9,0,air_conditioner,original,2
80,101729-0-0-26.wav,9,0,air_conditioner,original,11
81,101729-0-0-28.wav,9,0,air_conditioner,original,9
82,101729-0-0-29.wav,9,0,air_conditioner,original,17
83,101729-0-0-3.wav,9,0,air_conditioner,original,16
84,101729-0-0-32.wav,9,0,air_conditioner,original,9
85,101729-0-0-33.wav,9,0,air_conditioner,original,3
86,101729-0-0-36.wav,9,0,air_conditioner,original,8
87,101729-0-0-37.wav,9,0,air_conditioner,original,7
88,101729-0-0-38.wav,9,0,air_conditioner,original,8
89,101729-0-0-39.wav,9,0,air_conditioner,original,0
90,101729-0-0-4.wav,9,0,air_conditioner,original,5
91,101729-0-0-40.wav,9,0,air_conditioner,original,14
92,101729-0-0-6.wav,9,0,air_conditioner,original,9
93,101729-0-0-9.wav,9,0,air_conditioner,original,18
94,101848-9-0-0.wav,7,9,street_music,original,2
95,101848-9-0-1.wav,7,9,street_music,original,17
96,101848-9-0-2.wav,7,9,street_music,original,3
97,101848-9-0-3.wav,7,9,street_music,original,9
98,101848-9-0-8.wav,7,9,street_music,original,12
99,101848-9-0-9.wav,7,9,street_music,original,1
100,102102-3-0-0.wav,4,3,dog_bark,original,16
101,102103-3-0-0.wav,10,3,dog_bark,original,-1
102,102103-3-1-0.wav,10,3,dog_bark,original,-1
